title,artist,sitter,gender,size,objectType,place,date,thumbnail,mediaURLs
Elizabeth Knapp,"James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831",Elizabeth Knapp,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1802""}","https://ids.si.edu/ids/iiif/SAAM-1937.11.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1937.11.1_1]
Elizabeth Linn Brown,"William Dunlap, 18 Feb 1766 - 28 Sep 1839","Elizabeth Linn Brown, 1775 - 1834",female,Regular,"{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Philadelphia\\Philadelphia""}","{""Date"": ""c. 1806""}","https://ids.si.edu/ids/iiif/NPG-S_NPG_94_84_int/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_94_84_int]
Elizabeth Oliphant,"James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831",Elizabeth Oliphant,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1795""}","https://ids.si.edu/ids/iiif/SAAM-1942.2.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.2.3_1]
Elizabeth Washington Gamble Wirt,"Cephas Thompson, 1 Jul 1775 - 6 Nov 1856","Elizabeth Washington Gamble Wirt, 30 Jan 1784 - 24 Jan 1857",female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1809-10""}","https://ids.si.edu/ids/iiif/NPG-S_NPG_89_12-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_89_12-000001]
Emily Smiley Snowden,"Charles Peale Polk, born Annapolis, MD 1767-died Richmond Courthouse, VA 1822",Emily Snowden,female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1793""}","https://ids.si.edu/ids/iiif/SAAM-1977.104_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1977.104_1]
English Gentleman,Unidentified (British),unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1810""}","https://ids.si.edu/ids/iiif/SAAM-1950.4.21_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.21_1]
Fisher Ames,"Gilbert Stuart, 3 Dec 1755 - 9 Jul 1828","Fisher Ames, 9 Apr 1758 - 4 Jul 1808",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1807""}","https://ids.si.edu/ids/iiif/NPG-NPG_79_215Ames-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_79_215Ames-000001]
Francis Asbury,"John Paradise, 24 Oct 1783 - 26 Sep 1833","Francis Asbury, Aug 1745 - 31 Mar 1816",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1813""}","https://ids.si.edu/ids/iiif/NPG-NPG_90_82Asbury-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_90_82Asbury-000001]
Francis Scott Key,"Rembrandt Peale, 22 Feb 1778 - 3 Oct 1860","Francis Scott Key, 1 Aug 1779 - 11 Jan 1843",male,Regular,"{""Type"": ""Painting""}","{""Place"": ""United States\\Maryland\\Anne Arundel\\Annapolis""}","{""Date"": ""c. 1796""}","https://ids.si.edu/ids/iiif/NPG-NPG_2016_22/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2016_22]
Frederick Augustus Conrad Muhlenberg,"Joseph Wright, 16 Jul 1756 - c. 11 Oct 1793","Frederick Augustus Conrad Muhlenberg, 1 Jan 1750 - 4 Jun 1801",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1790""}","https://ids.si.edu/ids/iiif/NPG-NPG_74_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_74_1]
